date,Ounces in Pound,CANU,Ounces in Pound,CASEY CHARLIE,Ounces in Pound,Diamond Jones,Ounces in Pound,Lowery Matt,Ounces in Pound,DJ B-Mello,Ounces in Pound,Gandhi Madame,Ounces in Pound,Johnson Daitrell,Ounces in Pound,Framtiden Heja,Ounces in Pound,Big Brown,Ounces in Pound,CASEY DRIESSEN
2015-11-01,64,1,65,0,64,1,64,0,64,0,64,0,64,0,64,0,64,29,66,0
2015-11-08,64,1,64,0,64,1,64,0,64,0,64,0,64,0,64,0,64,32,66,0
2015-11-15,70,1,69,1,70,2,70,0,70,0,70,0,70,0,70,0,70,26,71,0
2015-11-22,100,1,100,0,100,2,100,0,100,0,100,0,100,0,100,0,100,27,100,0
2015-11-29,68,1,69,0,68,1,68,0,68,0,68,0,68,0,68,0,68,30,69,0
2015-12-06,68,2,68,0,68,2,68,0,68,0,68,0,68,0,68,0,68,28,69,0
2015-12-13,74,2,74,1,74,1,74,0,74,0,74,0,74,0,74,0,74,25,75,0
2015-12-20,95,1,98,1,95,2,95,0,95,0,95,0,95,0,95,0,95,28,99,0
2015-12-27,66,1,65,0,66,1,66,0,66,0,66,0,66,0,66,0,66,29,65,0
2016-01-03,76,1,75,0,76,1,76,0,76,0,76,0,76,0,76,0,76,28,77,0
2016-01-10,71,1,69,0,71,2,71,0,71,0,71,0,71,0,71,0,71,29,70,0
2016-01-17,73,1,74,0,73,2,73,0,73,0,73,0,73,0,73,0,73,25,73,0
2016-01-24,67,1,69,0,67,1,67,0,67,0,67,0,67,0,67,0,67,27,69,0
2016-01-31,69,1,70,0,69,1,69,0,69,0,69,0,69,0,69,0,69,26,68,0
2016-02-07,65,1,68,0,65,1,65,0,65,0,65,0,65,0,65,0,65,24,68,0
2016-02-14,62,1,63,0,62,2,62,0,62,0,62,0,62,0,62,0,62,30,65,0
2016-02-21,66,1,69,0,66,1,66,0,66,0,66,0,66,0,66,0,66,29,68,0
2016-02-28,64,2,64,1,64,1,64,0,64,0,64,0,64,0,64,0,64,27,64,0
2016-03-06,66,1,64,0,66,1,66,0,66,0,66,0,66,0,66,0,66,27,66,0
2016-03-13,63,2,61,0,63,2,63,0,63,0,63,0,63,0,63,0,63,25,64,0
2016-03-20,67,2,67,0,67,1,67,0,67,0,67,0,67,0,67,0,67,28,68,0
2016-03-27,64,2,64,0,64,2,64,0,64,0,64,0,64,0,64,0,64,25,67,0
2016-04-03,67,1,67,0,67,1,67,0,67,0,67,0,67,0,67,0,67,24,68,0
2016-04-10,68,1,68,0,68,1,68,0,68,0,68,0,68,0,68,0,68,26,69,0
2016-04-17,64,1,66,0,64,1,64,0,64,0,64,0,64,0,64,0,64,26,67,0
2016-04-24,67,1,64,0,67,1,67,0,67,0,67,0,67,0,67,0,67,27,67,0
2016-05-01,65,2,67,1,65,2,65,0,65,0,65,0,65,0,65,0,65,27,66,0
2016-05-08,65,1,66,0,65,1,65,0,65,0,65,0,65,0,65,0,65,26,68,0
2016-05-15,65,1,67,0,65,1,65,0,65,0,65,0,65,0,65,0,65,27,67,0
2016-05-22,64,1,64,1,64,2,64,0,64,0,64,0,64,0,64,0,64,29,65,0
2016-05-29,58,1,59,0,58,2,58,0,58,0,58,0,58,0,58,0,58,29,60,0
2016-06-05,60,1,61,1,60,1,60,0,60,0,60,0,60,0,60,0,60,28,62,0
2016-06-12,62,1,63,0,62,2,62,0,62,0,62,0,62,0,62,0,62,25,63,0
2016-06-19,55,1,55,0,55,1,55,0,55,0,55,0,55,0,55,0,55,28,56,0
2016-06-26,53,1,54,0,53,2,53,0,53,0,53,0,53,0,53,0,53,27,54,0
2016-07-03,57,1,57,0,57,1,57,0,57,0,57,0,57,0,57,0,57,29,57,0
2016-07-10,53,1,55,0,53,2,53,0,53,0,53,0,53,0,53,0,53,25,54,0
2016-07-17,54,1,54,0,54,2,54,0,54,0,54,0,54,0,54,0,54,26,54,0
2016-07-24,55,2,52,0,55,1,55,0,55,0,55,0,55,0,55,0,55,28,55,0
2016-07-31,51,1,52,0,51,1,51,0,51,0,51,0,51,0,51,0,51,25,53,0
2016-08-07,50,1,49,0,50,2,50,0,50,0,50,0,50,0,50,0,50,24,50,0
2016-08-14,52,1,52,0,52,1,52,0,52,0,52,0,52,0,52,0,52,25,53,0
2016-08-21,55,2,57,0,55,1,55,0,55,0,55,0,55,0,55,0,55,26,57,0
2016-08-28,58,1,58,0,58,1,58,0,58,0,58,0,58,0,58,0,58,31,58,0
2016-09-04,55,1,55,1,55,1,55,0,55,0,55,0,55,0,55,0,55,28,55,0
2016-09-11,56,1,59,0,56,1,56,0,56,0,56,0,56,0,56,0,56,27,59,0
2016-09-18,59,1,59,0,59,1,59,0,59,0,59,0,59,0,59,0,59,29,60,0
2016-09-25,57,1,57,0,57,2,57,0,57,0,57,0,57,0,57,0,57,29,58,0
2016-10-02,57,1,57,0,57,2,57,0,57,0,57,0,57,0,57,0,57,26,59,0
2016-10-09,58,1,60,0,58,1,58,0,58,0,58,0,58,0,58,0,58,23,60,0
2016-10-16,54,2,55,0,54,2,54,0,54,0,54,0,54,0,54,0,54,27,57,0
2016-10-23,59,1,62,0,59,1,59,0,59,0,59,0,59,0,59,0,59,27,63,0
2016-10-30,55,2,54,0,55,1,55,0,55,0,55,1,55,0,55,0,55,24,56,0
2016-11-06,54,1,54,1,54,1,54,0,54,0,54,0,54,0,54,0,54,21,55,0
2016-11-13,64,1,67,0,64,1,64,0,64,0,64,0,64,0,64,0,64,24,68,0
2016-11-20,91,1,88,0,91,1,91,0,91,0,91,0,91,0,91,0,91,27,92,0
2016-11-27,64,1,63,0,64,2,64,0,64,0,64,0,64,0,64,0,64,24,64,0
2016-12-04,64,1,66,0,64,1,64,0,64,0,64,0,64,0,64,0,64,24,65,0
2016-12-11,66,1,66,0,66,2,66,0,66,0,66,0,66,0,66,0,66,26,68,0
2016-12-18,87,2,86,0,87,1,87,0,87,0,87,0,87,0,87,0,87,24,89,0
2016-12-25,62,2,61,0,62,1,62,0,62,0,62,0,62,0,62,0,62,24,62,0
2017-01-01,67,1,67,1,67,1,67,0,67,0,67,0,67,0,67,0,67,25,68,0
2017-01-08,68,1,68,1,68,1,68,0,68,0,68,0,68,0,68,0,68,24,68,0
2017-01-15,67,1,66,1,67,1,67,0,67,0,67,0,67,0,67,0,67,25,68,0
2017-01-22,68,1,70,0,68,1,68,0,68,0,68,0,68,0,68,0,68,26,70,0
2017-01-29,69,1,69,0,69,2,69,0,69,0,69,0,69,0,69,0,69,26,70,0
2017-02-05,65,1,64,0,65,2,65,0,65,0,65,0,65,0,65,0,65,25,65,0
2017-02-12,66,2,67,0,66,2,66,0,66,0,66,0,66,0,66,0,66,23,67,0
2017-02-19,61,1,60,0,61,1,61,0,61,0,61,0,61,0,61,0,61,25,62,0
2017-02-26,60,1,60,1,60,1,60,0,60,0,60,0,60,0,60,0,60,26,61,0
2017-03-05,64,2,63,1,64,2,64,0,64,0,64,0,64,0,64,0,64,24,64,0
2017-03-12,60,1,61,1,60,1,60,0,60,0,60,1,60,0,60,0,60,23,64,0
2017-03-19,63,1,63,0,63,1,63,0,63,0,63,0,63,0,63,0,63,23,65,0
2017-03-26,64,2,65,0,64,1,64,0,64,0,64,0,64,0,64,0,64,25,65,0
2017-04-02,66,2,66,0,66,1,66,0,66,0,66,0,66,0,66,0,66,27,66,0
2017-04-09,66,1,68,1,66,1,66,0,66,0,66,0,66,0,66,0,66,23,68,0
2017-04-16,66,1,70,0,66,1,66,0,66,0,66,0,66,0,66,0,66,24,66,0
2017-04-23,64,2,63,0,64,1,64,0,64,0,64,0,64,0,64,0,64,26,66,0
2017-04-30,65,1,65,0,65,1,65,0,65,0,65,0,65,0,65,0,65,28,65,0
2017-05-07,62,1,61,0,62,1,62,0,62,0,62,0,62,0,62,0,62,28,64,0
2017-05-14,62,2,62,0,62,1,62,0,62,0,62,0,62,0,62,0,62,28,64,0
2017-05-21,61,2,61,0,61,1,61,0,61,0,61,0,61,0,61,0,61,27,61,0
2017-05-28,58,2,60,0,58,1,58,0,58,0,58,0,58,0,58,0,58,26,61,0
2017-06-04,57,1,56,0,57,1,57,0,57,0,57,0,57,0,57,0,57,25,57,0
2017-06-11,52,2,52,0,52,1,52,0,52,0,52,0,52,0,52,0,52,27,53,0
2017-06-18,52,2,53,0,52,1,52,0,52,0,52,0,52,0,52,0,52,26,55,0
2017-06-25,55,1,54,0,55,1,55,0,55,0,55,0,55,0,55,0,55,28,56,0
2017-07-02,56,2,56,0,56,1,56,0,56,0,56,0,56,0,56,0,56,29,57,0
2017-07-09,57,2,58,0,57,1,57,0,57,0,57,0,57,0,57,0,57,27,57,0
2017-07-16,53,1,53,0,53,1,53,0,53,0,53,1,53,0,53,0,53,29,53,0
2017-07-23,56,2,57,0,56,2,56,0,56,0,56,0,56,0,56,0,56,27,57,0
2017-07-30,53,2,53,0,53,2,53,0,53,0,53,0,53,0,53,0,53,26,54,0
2017-08-06,56,1,58,1,56,1,56,0,56,0,56,0,56,0,56,0,56,26,57,0
2017-08-13,54,2,57,0,54,2,54,0,54,0,54,0,54,0,54,0,54,27,57,0
2017-08-20,55,1,53,0,55,1,55,0,55,0,55,0,55,0,55,0,55,24,54,0
2017-08-27,59,2,59,0,59,1,59,0,59,0,59,0,59,0,59,0,59,25,59,0
2017-09-03,54,1,58,0,54,1,54,0,54,0,54,0,54,0,54,0,54,25,56,0
2017-09-10,56,1,55,0,56,1,56,0,56,0,56,0,56,0,56,0,56,26,56,0
2017-09-17,57,1,56,0,57,1,57,0,57,0,57,0,57,0,57,0,57,29,58,0
2017-09-24,62,2,64,0,62,1,62,0,62,0,62,0,62,0,62,0,62,26,65,0
2017-10-01,55,2,55,0,55,1,55,0,55,0,55,0,55,0,55,0,55,25,56,0
2017-10-08,57,1,57,0,57,1,57,0,57,0,57,0,57,0,57,0,57,26,57,0
